ticker,companyName,sector,cap,weight
ABP,Abacus Property Group FP Ordinary/Units Stapled Securities,Real Estate,2400630000,0.13
ABC,Adelaide Brighton,Materials,1955170000,0.1
APT,Afterpay Limited,Information Technology,8776740000,0.47
AGL,AGL Energy Limited,Utilities,12230500000,0.65
ALQ,Als Limited,Industrials,4033080000,0.22
ALU,Altium Limited,Information Technology,4033750000,0.22
AWC,Alumina Limited,Materials,5586900000,0.3
AMC,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,14946100000,0.8
AMP,AMP Limited,Financials,5756300000,0.31
ANN,Ansell Limited,Health Care,3852750000,0.21
ANZ,ANZ Banking Group Limited,Financials,70422300000,3.76
APE,AP Eagers Limited,Consumer Discretionary,2281570000,0.12
APA,APA Group FP Units Stapled Securities,Utilities,12672100000,0.68
APX,Appen Limited,Information Technology,2520570000,0.13
ARB,ARB Corporation,Consumer Discretionary,1369090000,0.07
ALL,Aristocrat Leisure,Consumer Discretionary,21142200000,1.13
ASX,ASX Limited,Financials,14353100000,0.77
ALX,Atlas Arteria Stap US Prohibited Excluding QUP,Industrials,7049780000,0.38
AZJ,Aurizon Holdings Limited,Industrials,9432820000,0.5
AST,Ausnet Services Limited,Utilities,6316990000,0.34
ASB,Austal Limited,Industrials,1240740000,0.07
AVH,Avita Medical Limited,Health Care,1270480000,0.07
BOQ,Bank of Queensland,Financials,3402970000,0.18
BAP,Bapcor Limited,Consumer Discretionary,1661690000,0.09
BPT,Beach Energy Limited,Energy,4002820000,0.21
BGA,Bega Cheese Limited,Consumer Staples,867692000,0.05
BEN,Bendigo and Adelaide,Financials,4529210000,0.24
BHP,BHP Group Limited,Materials,98980600000,5.29
BIN,Bingo Industries Limited,Industrials,1869900000,0.1
BKL,Blackmores Limited,Consumer Staples,1119040000,0.06
BSL,Bluescope Steel Limited,Materials,5975400000,0.32
BLD,Boral Limited,Materials,5298940000,0.28
BXB,Brambles Limited,Industrials,18472000000,0.99
BVS,Bravura Solution Limited,Information Technology,1096250000,0.06
BRG,Breville Group Limited,Consumer Discretionary,2535930000,0.14
