,ABP.AX,ABC.AX,APT.AX,AGL.AX,ALQ.AX
previousClose,2.52,2.11,19.41,16.07,5.11
regularMarketOpen,2.6,2.18,22.15,16.4,5.28
twoHundredDayAverage,3.705909,3.198951,31.276434,19.58007,8.494335
trailingAnnualDividendYield,0.07420635,0.023696683,,0.069072805,0.045009784
payoutRatio,0.77660006,1.5278,0,0.831,0.6543
volume24Hr,,,,,
regularMarketDayHigh,2.67,2.22,23.88,16.44,5.47
navPrice,,,,,
averageDailyVolume10Day,3195125,3554577,16009629,4836214,3791473
totalAssets,,,,,
regularMarketPreviousClose,2.52,2.11,19.41,16.07,5.11
fiftyDayAverage,3.343857,2.7411427,29.094286,18.476856,7.6322856
trailingAnnualDividendRate,0.187,0.05,,1.11,0.23
open,2.6,2.18,22.15,16.4,5.28
toCurrency,,,,,
averageVolume10days,3195125,3554577,16009629,4836214,3791473
expireDate,-,-,-,-,-
yield,,,,,
algorithm,,,,,
dividendRate,0.19,0.16,,1.11,0.23
exDividendDate,2019-12-30,2020-04-09,-,2020-02-26,2019-11-27
beta,0.302291,0.703621,1.859806,0.31116,0.856614
circulatingSupply,,,,,
startDate,-,-,-,-,-
regularMarketDayLow,2.3,2.015,17.13,15.82,5.1
priceHint,4,4,2,2,2
currency,AUD,AUD,AUD,AUD,AUD
trailingPE,9.031008,28.194445,,11.108787,12.833333
regularMarketVolume,1974325,2413258,16828190,3819240,3346929
lastMarket,,,,,
maxSupply,,,,,
openInterest,,,,,
marketCap,1503618816,1325819392,4983877632,10185913344,2600275968
volumeAllCurrencies,,,,,
strikePrice,,,,,
averageVolume,1354641,2808575,4382425,2652842,1725737
priceToSalesTrailing12Months,4.738897,0.87397456,15.995755,0.7704344,1.4792787
dayLow,2.3,2.015,17.13,15.82,5.1
ask,2.09,2.03,19.1,15.93,5.39
ytdReturn,,,,,
askSize,0,0,0,,0
volume,1974325,2413258,16828190,3819240,3346929
fiftyTwoWeekHigh,4.38,4.58,41.14,23.21,10.195
forwardPE,8.629629,6.34375,,,13.146341
maxAge,1,1,1,1,1
fromCurrency,,,,,
fiveYearAvgDividendYield,5.21,3.78,,4.39,2.89
fiftyTwoWeekLow,1.955,1.74,8.01,15.15,4.36
bid,2.6,2.02,18.59,17.33,5.36
tradeable,False,False,False,False,False
dividendYield,0.081099994,0.0788,,0.069699995,0.045
bidSize,0,0,0,,0
dayHigh,2.67,2.22,23.88,16.44,5.47
